StartDate,EndDate,Status,IPAddress,,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q29,Q31,RandomSurveyID
1/31/2023 22:56,1/31/2023 23:23,IP Address,172.98.189.189,,100,1602,TRUE,1/31/2023 23:23,R_6LMxDt7qBui3sqZ,,,,,40.0025,-75.1134,anonymous,EN,1,25-34,Fredrick County,Bachelor’s Degree,1995,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)","Continuously,Daily",Within in a week,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone sends an email specifically designed to belittle the recipient,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,The Frequent changing of a passwords so it is harder for an attacker to guess,I use multifactor authentication on my important online accounts.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in","I use the same password for all of my accounts,I use passwords that are similar but different for all of my accounts","I write my passwords down,I use a password manager",I have received security awareness training within the past month,Yes,Yes,Yes,15000,Yes,Yes,Yes,Extremely likely,Strongly agree,Strongly agree,71505
1/31/2023 22:48,1/31/2023 23:23,IP Address,172.98.167.178,,100,2129,TRUE,1/31/2023 23:23,R_1OuF3fpfZX1HvWf,,,,,35.115,-80.7061,anonymous,EN,0.899999976,25-34,Fredrick County,Bachelor’s Degree,2001,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Daily,Within in a week,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone sends an email specifically designed to belittle the recipient,When companies or individuals send out emails to promote or sell their products,When someone uses a different password for each web site they access,I use multifactor authentication wherever it is offered to me.,"Messages sent to my phone that contain a code,An application that generates a one-time code","I use the same password for most of my accounts,I use personal information (names of pets, children, or friends) as all or part of my password","I write my passwords down,I use a password manager",I have received security awareness training within the past month,Yes,Yes,Yes,15000,Yes,Yes,Yes,Extremely likely,Strongly agree,Strongly agree,21330
2/1/2023 11:03,2/1/2023 11:12,IP Address,202.182.70.17,,100,494,TRUE,2/1/2023 11:12,R_2w4ShkeHH2J86EK,,,,,40.7123,-74.0068,anonymous,EN,1,25-34,Montgomery County,Graduate Degree,1995,"I use removable storage that I keep in my house,I use keep multiple copies of my files on my computer",Monthly,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When companies or individuals send out emails to promote or sell their products,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication wherever it is offered to me.,"An application on my phone that verifies I am logging in,A hardware security token (e.g., YubiKey or Google Titan)","I use the same password for most of my accounts,I use passwords that are similar but different for all of my accounts,I use a unique complex password for my accounts",I use a password manager,I have received security awareness training within the past year,Yes,Yes,No,10000,Yes,I don't know,Yes,Somewhat unlikely,Somewhat agree,Somewhat agree,78445
2/1/2023 21:37,2/1/2023 21:52,IP Address,202.182.68.249,,100,922,TRUE,2/1/2023 21:52,R_2dgpbHpmJWNukoc,,,,,40.7123,-74.0068,anonymous,EN,1,55-64,Queen Annes County,Graduate Degree,1965,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in my house,I use removable storage that I keep in a location other than my house,I use keep multiple copies of my files on my computer,I do not back up my data",Monthly,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication on most of my online accounts.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in,An application that generates a one-time code,A hardware security token (e.g., YubiKey or Google Titan)","I use the same password for all of my accounts,I use the same password for most of my accounts,I use passwords that are similar but different for all of my accounts,I use personal information (names of pets, children, or friends) as all or part of my password,I use a unique complex password for my accounts","I remember my passwords,I use a password manager",I have received security awareness training within the past year,No,No,Yes,5000,Yes,Yes,Yes,Somewhat likely,Somewhat agree,Neither agree nor disagree,66085
11/29/2022 19:44,11/29/2022 19:57,IP Address,72.66.116.240,,100,776,TRUE,11/29/2022 19:57,R_1LthneV2SbreuHi,,,,,38.867,-76.8173,anonymous,EN,1,25-34,Prince Georges County,Some College,1993,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in my house,I use keep multiple copies of my files on my computer",Continuously,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,"An application on my phone that verifies I am logging in,A hardware security token (e.g., YubiKey or Google Titan)",I use a unique complex password for my accounts,I use a password manager,I have received security awareness training within the past year,No,Yes,Yes,3000,No,No,Yes,Extremely likely,Strongly agree,Somewhat agree,40780
1/31/2023 20:23,1/31/2023 20:42,IP Address,23.135.40.155,,100,1125,TRUE,1/31/2023 20:42,R_Tozxd0rZAtH2CCR,,,,,28.5531,-81.7597,anonymous,EN,0.899999976,35-44,Carroll County,Graduate Degree,1985,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Daily,More than a year ago,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code,I use the same password for most of my accounts,I remember my passwords,I have received security awareness training within the past month,I don't know,Yes,I don't know,3000,Yes,No,I don't know,Extremely likely,Strongly agree,Strongly agree,66642
2/22/2023 19:43,2/22/2023 19:50,IP Address,88.216.98.253,,100,394,TRUE,2/22/2023 19:50,R_3r0Qd3O4BxQtnOq,,,,,41.8486,-87.6288,anonymous,EN,1,25-34,Washington County,Graduate Degree,1997,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in a location other than my house,I use keep multiple copies of my files on my computer","Monthly,Less often than monthly but at least once a year",Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When companies or individuals send out emails to promote or sell their products,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in","I use the same password for most of my accounts,I use passwords that are similar but different for all of my accounts","I remember my passwords,I write my passwords down",I have received security awareness training within the past 6 months,No,No,Yes,3000,No,Yes,Yes,Neither likely nor unlikely,Somewhat agree,Somewhat agree,20249
11/2/2022 16:17,11/2/2022 16:38,IP Address,100.16.87.196,,97,1271,FALSE,11/9/2022 15:39,R_xFNx4nZa4NE639n,,,,,,,anonymous,EN,1,55-64,Anne Arundel County,Bachelor’s Degree,1965,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Continuously,Within a month,I don’t know,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,I don’t know,I don’t know.,I do not use multifactor authentication,I use the same password for most of my accounts,I remember my passwords,I have never received security awareness training.,Yes,Yes,Yes,2300,Yes,Yes,Yes,Somewhat likely,Neither agree nor disagree,Somewhat disagree,69890
11/5/2022 23:42,11/5/2022 23:46,IP Address,100.16.251.55,,100,220,TRUE,11/5/2022 23:46,R_3fclePKbXf0H8XI,,,,,39.0715,-76.6963,anonymous,EN,0.699999988,25-34,Anne Arundel County,Graduate Degree,1989,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use keep multiple copies of my files on my computer",Daily,Within a day,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,"Messages sent to my phone that contain a code,An application that generates a one-time code,A hardware security token (e.g., YubiKey or Google Titan)",I use a unique complex password for my accounts,I use a password manager,I have received security awareness training within the past 6 months,No,Yes,Yes,2000,Yes,Yes,Yes,Somewhat unlikely,Strongly agree,Somewhat agree,74957
11/22/2022 21:34,11/22/2022 21:40,IP Address,173.73.95.72,,100,331,TRUE,11/22/2022 21:40,R_3fNpae6ngT8QHWc,,,,,38.8597,-77.198,anonymous,EN,0.899999976,35-44,Queen Annes County,Some College,1984,"I use removable storage that I keep in my house,I use keep multiple copies of my files on my computer",Weekly,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in,An application that generates a one-time code",I don’t know,I don’t know,I have received security awareness training within the past month,Yes,I don't know,Yes,2000,Yes,Yes,Yes,Somewhat likely,Neither agree nor disagree,Somewhat agree,60943
12/22/2022 9:53,12/22/2022 9:56,IP Address,72.83.240.13,,100,133,TRUE,12/22/2022 9:56,R_2xzKQ2aRZymgbOQ,,,,,39.0828,-77.1674,anonymous,EN,1,25-34,Montgomery County,Bachelor’s Degree,1988,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in my house,I use keep multiple copies of my files on my computer",Less often than monthly but at least once a year,Within a year,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I do not use multifactor authentication.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in,An application that generates a one-time code",I use passwords that are similar but different for all of my accounts,I use a password manager,I have received security awareness training a year or more ago,No,Yes,Yes,2000,Yes,No,Yes,Extremely likely,Somewhat agree,Somewhat agree,39504
2/26/2023 18:32,2/26/2023 18:35,IP Address,100.16.62.226,,100,184,TRUE,2/26/2023 18:35,R_2AX9YPMRmuAAIOE,,,,,39.0809,-76.559,anonymous,EN,1,25-34,Anne Arundel County,High School Diploma or GED,1994,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Once a year or less frequently,Within a year,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,"Messages sent to my phone that contain a code,An application that generates a one-time code","I use the same password for all of my accounts,I use a unique complex password for my accounts",I remember my passwords,I have never received security awareness training.,No,Yes,Yes,2000,No,Yes,Yes,Somewhat likely,Somewhat agree,Neither agree nor disagree,55836
11/2/2022 16:31,11/2/2022 16:38,IP Address,208.218.230.197,,100,451,TRUE,11/2/2022 16:38,R_1ImIBYvc7UOaDEl,,,,,40.665,-73.9523,anonymous,EN,0.899999976,25-34,Baltimore County,Bachelor’s Degree,1994,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in my house,I use keep multiple copies of my files on my computer",Monthly,Within a month,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in,An application that generates a one-time code",I use a unique complex password for my accounts,"I remember my passwords,I write my passwords down",I have received security awareness training within the past 6 months,No,No,Yes,1500,No,Yes,Yes,Neither likely nor unlikely,Somewhat disagree,Neither agree nor disagree,39716
12/19/2022 9:54,12/19/2022 9:57,IP Address,208.207.222.242,,100,194,TRUE,12/19/2022 9:57,R_20ZlIp591wo7XPz,,,,,37.751,-97.822,anonymous,EN,0.899999976,18-24,Washington County,Bachelor’s Degree,1998,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in my house,I use removable storage that I keep in a location other than my house,I use keep multiple copies of my files on my computer",Weekly,Within in a week,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone in a business setting sends an email to a coworker inappropriately delegating their work to the recipient,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in,An application that generates a one-time code","I use the same password for most of my accounts,I use passwords that are similar but different for all of my accounts,I use personal information (names of pets, children, or friends) as all or part of my password","I remember my passwords,I use a password manager",I have received security awareness training within the past month,No,No,Yes,1500,Yes,No,No,Somewhat unlikely,Strongly agree,Somewhat agree,20381
11/5/2022 9:00,11/5/2022 9:05,IP Address,141.242.179.190,,100,290,TRUE,11/5/2022 9:05,R_26rrM6zFlPRzD9v,,,,,39.0469,-77.4903,anonymous,EN,0.899999976,25-34,Washington County,Graduate Degree,1994,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in a location other than my house,I use keep multiple copies of my files on my computer","Weekly,Once a year or less frequently",Within a day,Any action in which someone tries to convince another person to take an action which may not be in their best interests,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,The Frequent changing of a passwords so it is harder for an attacker to guess,I use multifactor authentication on most of my online accounts.,"I do not use multifactor authentication,An application on my phone that verifies I am logging in","I use the same password for most of my accounts,I use personal information (names of pets, children, or friends) as all or part of my password","I write my passwords down,I use a password manager",I have never received security awareness training.,No,No,No,1000,Yes,Yes,No,Somewhat likely,Strongly agree,Strongly agree,73749
11/11/2022 14:35,11/11/2022 14:40,IP Address,208.200.3.62,,100,322,TRUE,11/11/2022 14:40,R_2U5Ubq3ZJWHuD84,,,,,45.5496,-122.5044,anonymous,EN,0.899999976,65-75,Washington County,Bachelor’s Degree,1961,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use removable storage that I keep in my house,I use keep multiple copies of my files on my computer","Continuously,Daily,Less often than monthly but at least once a year",Within a day,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone sends an email specifically designed to belittle the recipient,When companies or individuals send out emails to promote or sell their products,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication on most of my online accounts.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in","I use the same password for most of my accounts,I use passwords that are similar but different for all of my accounts","I remember my passwords,I write my passwords down",I have received security awareness training within the past 6 months,No,I don't know,I don't know,1000,Yes,I don't know,No,Somewhat likely,Strongly agree,Neither agree nor disagree,31491
11/14/2022 3:35,11/14/2022 3:44,IP Address,208.200.5.223,,100,540,TRUE,11/14/2022 3:44,R_2eRNJ5GVs15sgKE,,,,,45.5496,-122.5044,anonymous,EN,0.800000012,35-44,Washington County,Graduate Degree,1990,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive),I use keep multiple copies of my files on my computer","Continuously,Daily",More than a year ago,When a company makes a public announcement about something positive that has happened or is going to happen,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication on most of my online accounts.,"Messages sent to my phone that contain a code,An application on my phone that verifies I am logging in",I use a unique complex password for my accounts,I remember my passwords,I have received security awareness training within the past month,I don't know,No,I don't know,1000,No,I don't know,Yes,Extremely likely,Strongly agree,Strongly agree,48140
