ResponseId,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q29,Q31,RandomSurveyID
R_2S2KBV7phwFLMmK,25-34,Anne Arundel County,Bachelor’s Degree,1997,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house",Weekly,Within a month,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code,I use the same password for most of my accounts,I write my passwords down,I have received security awareness training within the past 6 months,No,No,No,0,Yes,No,Yes,Somewhat likely,Somewhat agree,Somewhat agree,32555
R_2EpnH7AEvgwhxlD,25-34,Baltimore County,Bachelor’s Degree,1994,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Continuously,Within a day,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,Messages sent to my phone that contain a code;An application that generates a one-time code,"I use passwords that are similar but different for all of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password",I remember my passwords,I have received security awareness training within the past year,No,Yes,No,0,Yes,No,No,Neither likely nor unlikely,Somewhat agree,Somewhat agree,34558
R_2Yn2pBG1JY4M8sh,35-44,Baltimore City,Bachelor’s Degree,1987,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Weekly;Monthly,Within in a week,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,"An application on my phone that verifies I am logging in;An application that generates a one-time code;A hardware security token (e.g., YubiKey or Google Titan)",I use a unique complex password for my accounts,I use a password manager,I have received security awareness training within the past month,No,No,No,0,No,Yes,Yes,Somewhat unlikely,Strongly agree,Strongly agree,42910
R_1o8geyDtTL6VY80,35-44,Montgomery County,Bachelor’s Degree,1985,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Weekly;Monthly,Within a month,When a company makes a public announcement about something positive that has happened or is going to happen,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,When someone uses a different password for each web site they access,I use multifactor authentication wherever it is offered to me.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use the same password for all of my accounts;I use the same password for most of my accounts;I use passwords that are similar but different for all of my accounts,I write my passwords down;I use a password manager,I have received security awareness training within the past 6 months,No,No,No,0,Yes,I don't know,No,Extremely likely,Somewhat agree,Somewhat agree,22389
R_brLqaFi5yV5fEOd,25-34,Washington County,Bachelor’s Degree,1990,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Weekly;Monthly,Within a day,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,An application on my phone that verifies I am logging in,I use the same password for most of my accounts,I remember my passwords,I have received security awareness training within the past month,No,No,No,0,No,No,No,Somewhat unlikely,Somewhat agree,Strongly agree,31380
R_2bPCtRX4Fxm0SFD,35-44,Baltimore City,Graduate Degree,1982,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Weekly,Within in a week,When a company makes a public announcement about something positive that has happened or is going to happen,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,When someone uses a different password for each web site they access,I do not use multifactor authentication.,"Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code;A hardware security token (e.g., YubiKey or Google Titan)","I use the same password for all of my accounts;I use the same password for most of my accounts;I use passwords that are similar but different for all of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password;I use a unique complex password for my accounts",I remember my passwords;I write my passwords down;I use a password manager,I have never received security awareness training.,No,No,No,0,Yes,No,No,Extremely likely,Strongly agree,Somewhat agree,62275
R_XTiYYSw87g6MACt,35-44,Wicomico County,Graduate Degree,1980,I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house,Less often than monthly but at least once a year,Within a year,I don’t know,I don’t know,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use the same password for most of my accounts,I remember my passwords,I have received security awareness training within the past 6 months,No,Yes,No,0,Yes,No,Yes,Somewhat likely,Somewhat disagree,Neither agree nor disagree,25866
R_11dXqgEiaxJefnF,35-44,Baltimore City,Graduate Degree,1983,I use removable storage that I keep in my house,Less often than monthly but at least once a year,Within a year,Any action in which someone tries to convince another person to take an action which may not be in their best interests,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,"Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code;A hardware security token (e.g., YubiKey or Google Titan)",I use a unique complex password for my accounts,I remember my passwords,I have received security awareness training within the past 6 months,No,Yes,No,0,I don't know,No,Yes,Somewhat likely,Somewhat agree,Somewhat agree,30678
R_1K2NaoEy1xKxEce,25-34,Cecil County,High School Diploma or GED,1991,I do not back up my data,I do not back up my data,I do not back up my data,"Attempting to inform people about the use of proper security policies, processes, and procedures",Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication wherever it is offered to me.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in,I use the same password for all of my accounts,I remember my passwords,I have never received security awareness training.,I don't know,I don't know,No,0,No,No,No,Neither likely nor unlikely,Neither agree nor disagree,Somewhat disagree,71450
R_3NWKxnpkGiNqW8K,45-54,Baltimore City,Graduate Degree,1974,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Continuously;Daily;Weekly;Monthly;Less often than monthly but at least once a year;Once a year or less frequently,Within a day,When a company makes a public announcement about something positive that has happened or is going to happen,When someone in a business setting sends an email to a coworker inappropriately delegating their work to the recipient,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,When someone uses a different password for each web site they access,I use multifactor authentication on most of my online accounts.,"I do not use multifactor authentication;Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code;A hardware security token (e.g., YubiKey or Google Titan)","I use the same password for all of my accounts;I use the same password for most of my accounts;I use passwords that are similar but different for all of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password;I use a unique complex password for my accounts",I remember my passwords;I write my passwords down;I use a password manager,I have received security awareness training within the past month,Yes,Yes,No,0,Yes,No,No,Somewhat unlikely,Strongly agree,Somewhat agree,59861
R_1KdR9GBwteczgpE,25-34,Howard County,Some College,1994,I use removable storage that I keep in my house,Once a year or less frequently,More than a year ago,I don’t know,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,Messages sent to my phone that contain a code;An application that generates a one-time code,I use a unique complex password for my accounts,I use a password manager,I have never received security awareness training.,No,I don't know,No,0,No,No,I don't know,Somewhat unlikely,Somewhat agree,Somewhat disagree,24792
R_qDFXpAbl6xv6u1H,25-34,Queen Anne's County,Bachelor’s Degree,1988,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Weekly,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,Messages sent to my phone that contain a code;An application that generates a one-time code,I use the same password for most of my accounts,I use a password manager,I have received security awareness training a year or more ago,No,No,No,0,Yes,No,Yes,Somewhat unlikely,Strongly agree,Somewhat agree,28721
R_1OOUiFF2gQ9sv1M,18-24,Baltimore County,Graduate Degree,1998,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I keep multiple copies of my files on my computer",Weekly;Monthly,Within a year,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,Adding different numbers to the ends of a usernames so a user never has the same username on multiple sites,I use multifactor authentication on my important online accounts.,"An application on my phone that verifies I am logging in;A hardware security token (e.g., YubiKey or Google Titan)",I use passwords that are similar but different for all of my accounts;I use a unique complex password for my accounts,I remember my passwords,I have received security awareness training within the past year,No,No,No,0,No,No,No,Extremely unlikely,Strongly agree,Somewhat agree,27873
R_1liYroR7xxVMVA8,25-34,Frederick County,Bachelor’s Degree,1978,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Monthly;Once a year or less frequently,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,An application on my phone that verifies I am logging in,I use passwords that are similar but different for all of my accounts,I remember my passwords;I use a password manager,I have received security awareness training within the past year,No,No,No,0,Yes,I don't know,I don't know,Extremely likely,Strongly agree,Somewhat agree,52376
R_1K1QvTRJbxGsEsJ,18-24,Montgomery County,Bachelor’s Degree,1999,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Monthly,Within a month,I don’t know,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,Messages sent to my phone that contain a code;An application that generates a one-time code,"I use passwords that are similar but different for all of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password;I use a unique complex password for my accounts",I remember my passwords;I use a password manager,I have never received security awareness training.,No,No,No,0,Yes,No,I don't know,Neither likely nor unlikely,Somewhat agree,Somewhat disagree,39437
R_1QmB8fE7vAF69NW,35-44,Prince George's County,Bachelor’s Degree,1980,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I keep multiple copies of my files on my computer",Monthly;Less often than monthly but at least once a year,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When companies or individuals send out emails to promote or sell their products,When someone uses a different password for each web site they access,I do not use multifactor authentication.,I do not use multifactor authentication,I use passwords that are similar but different for all of my accounts;I use a unique complex password for my accounts,I remember my passwords,I have received security awareness training within the past 6 months,No,No,No,0,No,No,No,Neither likely nor unlikely,Somewhat agree,Somewhat agree,41820
R_qyfDyx5zruFOzLj,25-34,Montgomery County,Bachelor’s Degree,1993,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in a location other than my house",Continuously,Within a month,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,Messages sent to my phone that contain a code;An application that generates a one-time code,I use a unique complex password for my accounts,I use a password manager,I have received security awareness training within the past 6 months,No,No,No,0,Yes,No,Yes,Somewhat unlikely,Somewhat agree,Somewhat agree,22900
R_1ihayrAGAOZrKok,35-44,Baltimore City,Graduate Degree,1982,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house;I use removable storage that I keep in a location other than my house;I keep multiple copies of my files on my computer",Weekly,Within in a week,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone in a business setting sends an email to a coworker inappropriately delegating their work to the recipient,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on most of my online accounts.,"Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code;A hardware security token (e.g., YubiKey or Google Titan)","I use the same password for all of my accounts;I use the same password for most of my accounts;I use passwords that are similar but different for all of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password;I use a unique complex password for my accounts",I remember my passwords;I write my passwords down;I use a password manager,I have never received security awareness training.,No,No,No,0,Yes,No,No,Extremely likely,Strongly agree,Strongly agree,75787
R_0PuLc2lB2C9DsD7,25-34,Washington County,Bachelor’s Degree,1990,I use removable storage that I keep in a location other than my house,Weekly;Monthly,Within a year,Actively trying to circumvent or get around security safeguards by finding weaknesses in a system that can be exploited without personal interaction,When someone fraudulently sends a specifically crafted message to a person to convince them to take an action which may harm them,When someone sends an email to a large group of people and one of the recipients replies with a personal response to all recipients of the original email,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application that generates a one-time code,"I use the same password for most of my accounts;I use personal information (names of pets, children, or friends) as all or part of my password",I write my passwords down;I use a password manager,I have received security awareness training within the past month,Yes,No,No,0,Yes,Yes,No,Somewhat likely,Strongly agree,Somewhat agree,26517
R_2wAemtGwbppvUGN,35-44,Washington County,Graduate Degree,1986,I keep multiple copies of my files on my computer,Weekly,Within in a week,Any action in which someone tries to convince another person to take an action which may not be in their best interests,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,The Frequent changing of a passwords so it is harder for an attacker to guess,I do not use multifactor authentication.,I do not use multifactor authentication,I use the same password for all of my accounts,I remember my passwords,I have received security awareness training within the past month,No,I don't know,No,0,Yes,No,Yes,Extremely likely,Strongly agree,Strongly agree,26349
R_0Oh6VuUwQBNUG0F,65-75,Allegany County,Bachelor’s Degree,1952,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive);I use removable storage that I keep in my house",Daily,Within in a week,I don’t know,Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When a someone fraudulently sends email to people to convince them to take an action which may harm them,"An additional piece of information beyond username and password which someone must provide to gain access to a system (e.g., website)",I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code,I use a unique complex password for my accounts,I write my passwords down,I have received security awareness training a year or more ago,No,No,No,0,No,No,No,Somewhat likely,Somewhat agree,Somewhat agree,76267
R_2Qtj3jPxHI1X8Zj,35-44,Baltimore City,Bachelor’s Degree,1980,"I use a cloud service (e.g., Microsoft OneDrive, Carbonite, Google Drive)",Less often than monthly but at least once a year,Within a month,"Attempting to inform people about the use of proper security policies, processes, and procedures",Targeted marketing emails sent to a specific person by a company based on their buying history or web browsing habits,When someone you know sends an email that was forwarded to you encouraging you to forward that message on to everyone in your address book,When someone uses a different password for each web site they access,I use multifactor authentication on my important online accounts.,Messages sent to my phone that contain a code;An application on my phone that verifies I am logging in;An application that generates a one-time code,I use passwords that are similar but different for all of my accounts;I use a unique complex password for my accounts,I remember my passwords,I have received security awareness training a year or more ago,No,No,No,0,No,No,No,Extremely unlikely,Strongly agree,Somewhat agree,21159
